oid,lid
31,19
27,17
28,1
25,1
36,21
26,16
30,18
12,9
34,4
35,4
10,8
22,2
18,12
32,20
7,6
15,11
14,1
11,1
38,2
2,2
29,3
1,1
33,20
39,2
5,4
3,2
16,11
17,1
24,2
8,7
19,13
23,1
37,22
13,10
20,14
6,5
21,15
9,2
4,3
